Start Log - Format: duration;count;numberOfParticlesDOTS;numberOfParticlesStandard
57,2997;133;32612;0
57,3997;94;32671;0
57,49969;88;32727;0
57,59969;86;32780;0
57,69969;133;32835;0
57,79969;89;32892;0
57,89969;89;32951;0
57,99969;135;33008;0
58,09969;88;33067;0
58,19968;136;33124;0
58,29968;90;33183;0
58,39968;97;33234;0
58,49968;87;33293;0
58,59968;132;33348;0
58,69968;88;33405;0
58,79967;89;33458;0
58,89967;88;33514;0
58,99967;89;33570;0
59,09967;89;33623;0
59,19967;88;33680;0
59,29967;131;33739;0
59,39967;123;33793;0
59,49966;128;33847;0
59,59966;84;33901;0
59,69966;85;33959;0
59,79966;138;34014;0
59,89966;127;34067;0
59,99966;132;34120;0
60,09966;87;34179;0
60,19965;88;34233;0
60,29965;87;34286;0
60,39965;131;34330;0
60,49965;43;34277;0
60,59965;76;34209;0
60,69965;138;34145;0
60,79964;121;34087;0
60,89964;85;34019;0
60,99964;90;33958;0
61,09964;90;33897;0
61,19964;134;33830;0
61,29964;88;33764;0
61,39964;91;33696;0
61,49963;92;33629;0
61,59963;82;33571;0
61,69963;131;33500;0
61,79963;87;33433;0
61,89963;137;33364;0
61,99963;94;33303;0
62,09962;92;33239;0
62,19962;139;33169;0
62,29962;90;33098;0
62,39962;89;33033;0
62,49962;141;32961;0
62,59962;141;32894;0
62,69962;94;32819;0
62,79961;98;32751;0
62,89961;142;32681;0
62,99961;141;32612;0
63,09961;143;32546;0
63,19961;91;32480;0
63,29961;98;32418;0
63,3996;139;32348;0
63,4996;80;32289;0
63,5996;88;32226;0
63,6996;66;32164;0
63,7996;87;32092;0
63,8996;120;32026;0
63,9996;139;31961;0
64,09959;94;31897;0
64,19959;132;31829;0
64,29959;137;31762;0
64,39959;97;31691;0
64,49959;94;31625;0
64,59959;148;31556;0
64,69958;100;31491;0
64,79958;93;31425;0
64,89958;162;31351;0
64,99958;156;31285;0
65,09958;106;31220;0
65,19958;89;31156;0
65,29958;150;31085;0
65,39957;87;31021;0
65,49957;81;30954;0
65,59957;168;30881;0
65,69957;171;30815;0
65,79957;96;30751;0
65,89957;94;30682;0
65,99957;96;30615;0
66,09956;152;30549;0
66,19956;106;30491;0
66,29956;107;30419;0
66,39956;93;30355;0
